

"項目","単価","数量","金額",
"販売価格","500","-","-",
"製造指示","-","70","-",
"材料調達","-","0","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン完成数","-","200","-",
"来店者数","-","235","-",
"パン販売数","-","200","-",
"売上高","-","-","100000",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン品切数","-","35","-",
"パン廃棄数","-","0","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"明日の朝の材料在庫数","-","180","-",
"明日の朝の材料納入数","-","0","-",
"明日の朝に完成するパンの数","-","70","-",


