

"項目","単価","数量","金額",
"販売価格","875","-","-",
"製造指示","-","100","-",
"材料調達","-","300","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン完成数","-","100","-",
"来店者数","-","125","-",
"パン販売数","-","100","-",
"売上高","-","-","87500",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン品切数","-","25","-",
"パン廃棄数","-","0","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"明日の朝の材料在庫数","-","0","-",
"明日の朝の材料納入数","-","300","-",
"明日の朝に完成するパンの数","-","100","-",


