

"項目","単価","数量","金額",
"販売価格","950","-","-",
"製造指示","-","100","-",
"材料調達","-","300","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン完成数","-","100","-",
"来店者数","-","99","-",
"パン販売数","-","99","-",
"売上高","-","-","94050",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン品切数","-","0","-",
"パン廃棄数","-","1","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"明日の朝の材料在庫数","-","0","-",
"明日の朝の材料納入数","-","300","-",
"明日の朝に完成するパンの数","-","100","-",


