

"項目","単価","数量","金額",
"販売価格","830","-","-",
"製造指示","-","150","-",
"材料調達","-","150","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン完成数","-","150","-",
"来店者数","-","123","-",
"パン販売数","-","123","-",
"売上高","-","-","102090",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"パン品切数","-","0","-",
"パン廃棄数","-","27","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"&nbsp;","-","-","-",
"明日の朝の材料在庫数","-","250","-",
"明日の朝の材料納入数","-","150","-",
"明日の朝に完成するパンの数","-","150","-",


